               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.025404,             0.01428,           0.0035622,             0.87038,             0.90319,             0.91095,             0.61032,            0.030063,            0.014334,           0.0039817,            0.001387,            0.001387,            0.001387
                  89,            0.025608,            0.013849,           0.0034747,             0.87636,             0.93056,             0.93249,             0.62891,            0.030646,            0.014339,           0.0033949,            0.001288,            0.001288,            0.001288
                  90,            0.024546,            0.014139,           0.0027216,             0.86331,             0.91527,              0.9322,             0.62319,            0.030084,            0.014264,           0.0036063,            0.001189,            0.001189,            0.001189
                  91,            0.025586,            0.013319,           0.0037122,             0.85622,             0.92381,             0.93547,             0.61906,            0.030161,            0.014261,            0.003825,             0.00109,             0.00109,             0.00109
                  92,            0.024539,            0.013309,           0.0028148,             0.86035,             0.92106,              0.9371,             0.63377,            0.031211,            0.014323,             0.00384,            0.000991,            0.000991,            0.000991
                  93,            0.024383,            0.013633,            0.002453,             0.86728,             0.90936,             0.93183,             0.62761,            0.030693,            0.014284,           0.0038974,            0.000892,            0.000892,            0.000892
                  94,            0.025262,            0.013474,           0.0029109,             0.86944,             0.91236,             0.93701,             0.62982,            0.030109,            0.014342,           0.0037991,            0.000793,            0.000793,            0.000793
                  95,            0.024548,            0.013927,           0.0028653,             0.87709,              0.9215,             0.94173,             0.63473,            0.030518,            0.014349,           0.0036719,            0.000694,            0.000694,            0.000694
                  96,            0.025432,            0.014117,           0.0032471,             0.87002,             0.92621,             0.94089,             0.63487,            0.030834,            0.014333,            0.003635,            0.000595,            0.000595,            0.000595
                  97,            0.024842,            0.013523,           0.0032529,             0.82595,             0.92954,             0.92555,              0.6211,            0.030648,            0.014289,           0.0041536,            0.000496,            0.000496,            0.000496
                  98,            0.024673,             0.01274,           0.0029072,             0.82443,             0.92907,             0.92577,             0.62008,             0.03041,            0.014227,           0.0043303,            0.000397,            0.000397,            0.000397
                  99,            0.024686,            0.012572,           0.0030844,             0.82244,              0.9339,             0.91394,             0.61219,            0.030254,            0.014199,           0.0044489,            0.000298,            0.000298,            0.000298
